127.0.0.1 - - [16/Jun/2023:16:53:18 +0900] "GET / HTTP/1.1" 200 10720
0:0:0:0:0:0:0:1 - - [16/Jun/2023:16:53:23 +0900] "GET /admin/adLogin HTTP/1.1" 200 3657
0:0:0:0:0:0:0:1 - - [16/Jun/2023:16:53:23 +0900] "GET /css/adLogin.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2023:16:53:23 +0900] "GET /bower_components/font-awesome/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2023:16:53:23 +0900] "GET /dist/css/skins/skin-blue.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2023:16:53:23 +0900] "GET /bower_components/bootstrap/dist/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2023:16:53:23 +0900] "GET /dist/css/AdminLTE.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2023:16:53:23 +0900] "GET /bower_components/Ionicons/css/ionicons.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2023:16:53:23 +0900] "GET /dist/js/adminlte.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2023:16:53:23 +0900] "GET /bower_components/bootstrap/dist/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2023:16:53:23 +0900] "GET /bower_components/jquery/dist/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2023:16:53:23 +0900] "GET /bower_components/font-awesome/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2023:16:53:23 +0900] "GET /favicon.ico HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [16/Jun/2023:16:53:25 +0900] "POST /admin/admin_ok HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Jun/2023:16:53:26 +0900] "GET /admin/admin_menu HTTP/1.1" 200 16731
0:0:0:0:0:0:0:1 - - [16/Jun/2023:16:53:26 +0900] "GET /dist/img/user2-160x160.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2023:16:53:40 +0900] "GET /admin/product/pro_list HTTP/1.1" 200 33901
0:0:0:0:0:0:0:1 - - [16/Jun/2023:16:53:40 +0900] "GET /admin/product/displayImage?folderName=2023/06/05&fileName=s_bf2652cf-d25a-40d5-8c2c-797039bcac55_nature3.jpg HTTP/1.1" 200 1289
0:0:0:0:0:0:0:1 - - [16/Jun/2023:16:53:40 +0900] "GET /admin/product/displayImage?folderName=2023/06/05&fileName=s_587a8baa-97b0-48ca-a13e-15a121b81644_nature2.jpg HTTP/1.1" 200 1236
0:0:0:0:0:0:0:1 - - [16/Jun/2023:16:53:40 +0900] "GET /admin/product/displayImage?folderName=2023/06/05&fileName=s_880e8b2c-c44e-4e4e-aa7f-2e6b2195c6e8_nature4.jpg HTTP/1.1" 200 4964
0:0:0:0:0:0:0:1 - - [16/Jun/2023:16:53:40 +0900] "GET /admin/product/displayImage?folderName=2023/06/03&fileName=s_239294b4-ed8e-49a7-a591-26383c89ab5e_nature1.jpg HTTP/1.1" 200 1176
0:0:0:0:0:0:0:1 - - [16/Jun/2023:16:53:47 +0900] "GET /member/login HTTP/1.1" 200 6326
0:0:0:0:0:0:0:1 - - [16/Jun/2023:16:53:51 +0900] "POST /member/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Jun/2023:16:53:51 +0900] "GET / HTTP/1.1" 200 10854
0:0:0:0:0:0:0:1 - - [16/Jun/2023:16:53:51 +0900] "GET /resources/img/forment.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2023:16:53:51 +0900] "GET /resources/img/nature1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2023:16:53:51 +0900] "GET /resources/img/nature2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2023:16:53:55 +0900] "GET /product/subCategory/4 HTTP/1.1" 200 174
0:0:0:0:0:0:0:1 - - [16/Jun/2023:16:53:55 +0900] "GET /product/subCategory/3 HTTP/1.1" 200 174
0:0:0:0:0:0:0:1 - - [16/Jun/2023:16:53:55 +0900] "GET /product/subCategory/2 HTTP/1.1" 200 174
0:0:0:0:0:0:0:1 - - [16/Jun/2023:16:53:55 +0900] "GET /product/subCategory/5 HTTP/1.1" 200 174
0:0:0:0:0:0:0:1 - - [16/Jun/2023:16:53:55 +0900] "GET /product/subCategory/1 HTTP/1.1" 200 172
0:0:0:0:0:0:0:1 - - [16/Jun/2023:16:53:56 +0900] "GET /product/subCategory/2 HTTP/1.1" 200 174
